Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2022;4º;Reclamação regulada;Irregularidades relacionadas à liquidação de documentos (exceto cheques);"Para as situações relacionadas à liquidação de TEC, TED, DOC e boletos de cobrança, tais como: 
- descumprimento de prazo de compensação;
- inobservância do valor limite de DOC;
- não informação/disponibilização de DOC devolvido.";
2022;4º;Reclamação regulada;Irregularidades relacionadas à liquidação de documentos (exceto cheques) - instituição de pagamento;"""Para as situações relacionadas à liquidação de TEC, TED, DOC e boletos de cobrança por instituição de pagamento, tais como: 
- descumprimento de prazo de compensação;
- inobservância do valor limite de DOC
- não informação/disponibilização de DOC devolvido;""
";
2022;4º;Reclamação regulada;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito;"Para as situações envolvendo infração às regras de crédito rotativo de cartão de crédito previstas na Resolução 4.549, de 2017, tais como:
- extensão indevida de crédito rotativo
- falta de informação sobre as novas regras de crédito rotativo
- financiamento de saldo remanescente de crédito rotativo em condições não vantajosas
- retorno ao crédito rotativo após parcelamento de rotativo anterior

Limitação para cobrança dos juros remuneratórios nos casos de inadimplência de cartão de crédito previstas na Resolução 4.655/2018.";
2022;4º;Reclamação regulada;Irregularidades relativas a crédito rotativo de cartão de crédito e inadimplência do cartão de crédito - instituição de pagamento;"Para as situações envolvendo infração às regras de crédito rotativo de cartão de crédito previstas na Resolução 4.549, de 2017, tais como:
- extensão indevida de crédito rotativo
- falta de informação sobre as novas regras de crédito rotativo
- financiamento de saldo remanescente de crédito rotativo em condições não vantajosas
- retorno ao crédito rotativo após parcelamento de rotativo anterior

Limitação para cobrança dos juros remuneratórios nos casos de inadimplência de cartão de crédito previstas na Resolução 4.655/2018.";
2022;4º;Reclamação regulada;Irregularidades relativas a dados cadastrais no Open Banking por instituições financeiras;"Para as situações envolvendo infração às regras de Open Banking por instituições financeiras relativas a dados cadastrais, tais como:
- Não compartilhamento de dados cadastrais
- Compartilhamento de dados cadastrais sem consentimento do cliente
- Falhas no processo de consentimento, autenticação e confirmação do cliente";
2022;4º;Reclamação regulada;Irregularidades relativas a dados transacionais no Open Banking - instituição de pagamento;"Para as situações envolvendo infração às regras de Open Banking por instituições de pagamento, tais como:
- Não compartilhamento de dados transacionais
- Compartilhamento de dados transacionais sem consentimento do cliente
- Falhas no processo de consentimento, autenticação e confirmação do cliente
";
2022;4º;Reclamação regulada;Irregularidades relativas a dados transacionais no Open Banking por instituições financeiras;"Para as situações envolvendo infração às regras de Open Banking por instituições financeiras relativas a dados transacionais, tais como:
- Não compartilhamento de dados transacionais
- Compartilhamento de dados transacionais sem consentimento do cliente
- Falhas no processo de consentimento, autenticação e confirmação do cliente";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em ATM;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados em ATM (terminal de auto atendimento), tais como:
- Saques e depósitos divergentes em ATM (inclusive na utilização de cartões de crédito e débito);
- Saques não reconhecidos em ATM;
- Golpe (adulteração de boleto no momento do pagamento em ATM);
- Adulterações em transações via ATM;
- Cooptação de dados em ATM.";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços disponibilizados em internet banking;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados via internet banking ou aplicativo (app), tais como:
- Transações não reconhecidas em Internet Banking;
- Golpe (adulteração de boleto no momento do pagamento via Internet Banking);
- Adulterações em transações via Internet Banking;
- Cooptação de dados em Internet Banking;
- Falhas operacionais diversas, como execução de pedidos informados ao cliente como não acatados, bugs em aplicativos etc.";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados por instituição de pagamento relacionados a conta de pagamento pós-paga, tais como:
- Cobrança em fatura de cartão de crédito que deveria ter sido estornada;
- Cobrança indevida em fatura de cartão de crédito;
- Compras não reconhecidas feitas com cartão de crédito clonado/roubado;
- Cobranças em duplicidade, em cartão de crédito;
- Não reconhecimento de pagamento de fatura de cartão de crédito;
- Inconsistências em dados fornecidos ao cliente em fatura de cartão de crédito (ex.: soma dos lançamentos é diferente do total da fatura).
";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pré-paga - instituição de pagamento;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados por instituição de pagamento relacionados a conta de pagamento pré-paga, tais como:
- Cobrança de transação que deveria ter sido estornada;
- Cobrança indevida de transação;
- Compras não reconhecidas feitas com instrumento de pagamento pré-pago;
- Cobranças em duplicidade, em conta de pagamento pré-pago;
- Débitos não autorizados, ou não cumprimento das regras aplicáveis;
- Não acatamento de solicitação de cancelamento de débito autorizado, ou não cumprimento das regras aplicáveis.

";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de crédito;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionados a cartões de crédito, tais como:
- Cobrança em fatura de cartão de crédito que deveria ter sido estornada;
- Cobrança indevida em fatura de cartão de crédito;
- Compras não reconhecidas feitas com cartão de crédito clonado/roubado;
- Cobranças em duplicidade, em cartão de crédito;
- Não reconhecimento de pagamento de fatura de cartão de crédito;
- Inconsistências em dados fornecidos ao cliente em fatura de cartão de crédito (ex.: soma dos lançamentos é diferente do total da fatura).";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços relacionados a cartões de débito;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionados a cartões de débito, tais como:
- Compras não reconhecidas feitas com cartão de débito clonado/roubado;
- Cobranças em duplicidade, em cartão de débito.";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito;"Para situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas, bem como a legitimidade das operações contratadas e dos serviços prestados relacionadas a outros serviços que não cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito, tais como:
- Não realização de débito automático autorizado pelo cliente;
- Divergências em saques e depósitos em caixa convencional;
- Problemas em transações ocasionados por falha humana;
- Resgates de investimentos, alteração de modalidades de investimentos, etc., sem autorização do cliente.
";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito consignado;"Para as situações envolvendo a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito consignado, tais como:
- atraso na liberação do crédito; 
- cobrança de parcela já quitada; 
- cobrança em duplicidade; 
- demora para devolver parcela cobrada indevidamente; 
- falhas operacionais relacionadas a margem consignável; 
- divergência no valor ou na quantidade de parcelas.";
2022;4º;Reclamação regulada;Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito, exceto consignado;"Para as situações envolvendo a integridade, confiabilidade, segurança, sigilo ou legitimidade dos serviços relacionados a operações de crédito, exceto consignado, tais como:
- atraso na liberação do crédito; 
- cobrança de parcela já quitada; 
- cobrança em duplicidade; 
- demora para devolver parcela cobrada indevidamente; 
- divergência no valor ou na quantidade de parcelas.
";
2022;4º;Reclamação não regulada;Irregularidades relativas a telemarketing, SMS ou Whatsapp com oferta de produtos e serviços;"Ligações telefônicas, mensagens via e-mail, SMS ou Whatsapp oferecendo produtos e serviços.";
2022;4º;Reclamação regulada;Irregularidades relativas à iniciação de transação de pagamento no Open Banking por instituições financeiras;"Para as situações envolvendo infração às regras de Open Banking por instituições financeiras relativas a iniciação de transação de pagamento, tais como:
- Pix
- TED
- transferências entre contas na própria instituição
";
2022;4º;Reclamação não regulada;Juros e preços;Para as situações envolvendo o valor das taxas de juros cobradas por instituição financeira ou elevação/abusividade do preço dos serviços.;
2022;4º;Reclamação não regulada;Liberação de recursos em financiamento imobiliário;Para as situações envolvendo demora ou dificuldade nos procedimentos para liberação de financiamentos imobiliários.;
2022;4º;Reclamação regulada;Limites de transação;Para os casos de descumprimento de regras relacionadas a limites de transação em contas de depósito e de pagamento pré e pós pagas.;
2022;4º;Reclamação regulada;Limites de transação - instituição de pagamento;Para os casos de descumprimento de regras relacionadas a limites de transação em contas de pagamento pré e pós pagas.;
2022;4º;Reclamação regulada;Não acatamento de solicitação de cancelamento de débitos automáticos em conta de pagamento pré-paga, ou não cumprimento das regras aplicáveis;"Para as situações envolvendo o não acatamento, por parte da instituição financeira, de solicitação apresentada pelo cliente para cancelamento de débitos automáticos em conta de pagamento pré-paga, ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação regulada;Não acatamento de solicitação de cancelamento de débitos automáticos em conta ou não cumprimento das regras aplicáveis;"Para as situações envolvendo o não acatamento, por parte da instituição financeira, de solicitação apresentada pelo cliente para cancelamento de débitos automáticos em conta ou não cumprimento das regras aplicáveis.
";
2022;4º;Reclamação regulada;Não acatamento de solicitação de cancelamento de débitos automáticos em conta-salário ou não cumprimento das regras aplicáveis;"Para as situações envolvendo o não acatamento, por parte da instituição financeira, de solicitação apresentada pelo cliente para cancelamento de débitos automáticos em conta-salário ou não cumprimento das regras aplicáveis.";
2022;4º;Reclamação regulada;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada para conta de pagamento pós-paga - instituição de pagamento;Para os casos em que houver indícios de que a instituição de pagamento ofertou produtos e serviços inadequados ou prestou informações a respeito dos mesmos de forma insuficiente à tomada de decisão por parte de clientes e usuários de contas de pagamento pós-pagas.;
2022;4º;Reclamação regulada;Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada para conta de pagamento pré-paga - instituição de pagamento;Para os casos em que houver indícios de que a instituição de pagamento ofertou produtos e serviços inadequados ou prestou informações a respeito dos mesmos de forma insuficiente à tomada de decisão por parte de clientes e usuários de contas de pagamento pré-pagas.;
2022;4º;Reclamação regulada;Oferta ou prestação de informação sobre a conta ou serviços acessórios de forma inadequada ;Para os casos em que houver indícios de que a instituição ofertou conta ou serviços acessórios inadequados ou prestou informações a respeito do mesmo de forma insuficiente à tomada de decisão por parte de clientes e usuários.;
2022;4º;Reclamação regulada;Oferta ou prestação de informação sobre crédito consignado de forma inadequada;Para os casos em que houver indícios de que a instituição ofertou crédito consignado inadequado ou prestou informações a respeito do mesmo de forma insuficiente à tomada de decisão por parte de clientes e usuários.;
2022;4º;Reclamação regulada;Oferta ou prestação de informação sobre o cartão de crédito de forma inadequada ;Para os casos em que houver indícios de que a instituição ofertou cartão de crédito inadequado ou prestou informações a respeito do mesmo de forma insuficiente à tomada de decisão por parte de clientes e usuários.;
2022;4º;Reclamação regulada;Oferta ou prestação de informação sobre operação de crédito de forma inadequada, exceto crédito consignado;"Para os casos em que houver indícios de que a instituição ofertou crédito, exceto consignado, inadequado ou prestou informações a respeito do mesmo de forma insuficiente à tomada de decisão por parte de clientes e usuários.";
2022;4º;Reclamação regulada;Oferta ou prestação de informação sobre produtos e serviços de forma inadequada, exceto as relacionadas a cartão de crédito, conta e serviços acessórios, credenciadora de cartão e operação de crédito;"Para os casos em que houver indícios de que a instituição ofertou produtos e serviços, exceto cartão de crédito, conta, serviços acessórios à conta, credenciadora de cartão e operação de crédito, inadequados ou prestou informações a respeito deles de forma insuficiente à tomada de decisão por parte de clientes e usuários.";
2022;4º;Reclamação regulada;Outras irregularidades ;Para os casos envolvendo outras irregularidades que não possuem um item próprio de classificação no presente ranking.;
2022;4º;Reclamação regulada;Outras irregularidades - instituição de pagamento;"""Para os casos envolvendo outras irregularidades cometidas por instituição de pagamento que não possuem um item próprio de classificação no presente ranking.
""
";
2022;4º;Reclamação regulada;Outras irregularidades relacionadas a cartões de crédito;"Para os casos envolvendo irregularidades relacionadas a cartões de crédito não enquadrados nos outros itens, tais como:
- recusa à oferta de cartão de crédito básico nacional e/ou internacional por instituição que emite cartão de crédito;
- não divulgação em tabela dos benefícios/recompensas relacionados a cartões de crédito;
- ausência de informações obrigatórias mínimas nos demonstrativos e/ou faturas mensais.";
2022;4º;Reclamação regulada;Outras irregularidades relacionadas a cartões de crédito - instituição de pagamento;"""Para os casos envolvendo irregularidades cometidas por instituição de pagamento relacionadas a cartões de crédito não enquadrados nos outros itens, tais como:
- recusa à oferta de cartão de crédito básico nacional e/ou internacional por instituição que emite cartão de crédito;
- não divulgação em tabela dos benefícios/recompensas relacionados a cartões de crédito;
- ausência de informações obrigatórias mínimas nos demonstrativos e/ou faturas mensais.""
";
2022;4º;Reclamação regulada;Outras irregularidades relacionadas a cheques;Para os casos envolvendo irregularidades relacionadas a cheques não enquadrados nos outros itens.;
2022;4º;Reclamação regulada;Outras irregularidades relacionadas a tarifas;"Para os casos envolvendo irregularidades relacionadas a tarifas não enquadrados nos outros itens, tais como:
- pela emissão ou recebimento de boleto;
- débito, em conta de depósitos à vista ou de poupança, de tarifas sem identificação no extrato de forma clara ou sem utilização, no caso dos serviços prioritários, da padronização;
- não disponibilização de extrato anual;
- não divulgação.";
2022;4º;Reclamação regulada;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;"Para os casos envolvendo outras irregularidades relacionadas à portabilidade de operação de crédito contratada por pessoa natural, tais como:
- aumento do valor da prestação, por parte de instituição financeira proponente, sem a manifestação formal de concordância por parte do devedor;
- repasse, ao devedor, dos custos relacionados à troca de informações e à transferência de recursos entre as instituições proponente e credora original;
- ausência de divulgação de informações necessárias para o exercício do direito à portabilidade;
- situações envolvendo operações de arrendamento mercantil.";
2022;4º;Reclamação não regulada;Outros assuntos não regulados relacionados a cartão de crédito;"Para situações diversas, não reguladas, envolvendo cartão de crédito emitido por instituições financeiras, tais como:
- não fornecimento do contrato de adesão ao cartão;
- descumprimento de cláusulas contratuais;
- demora no envio de 2ª via de cartão; 
- demora no envio de cartão com nova validade.";
2022;4º;Reclamação não regulada;Outros assuntos não regulados relacionados a cartão de crédito;"Para situações diversas, não reguladas, envolvendo cartão de crédito emitido por instituições de pagamento, tais como:
- não fornecimento do contrato de adesão ao cartão;
- descumprimento de cláusulas contratuais;
- demora no envio de 2a via de cartão; 
- demora no envio de cartão com nova validade.";
2022;4º;Reclamação regulada;Pix  - chaves;"Para os casos envolvendo problemas no registro, portabilidade, reivindicação e exclusão de chaves";
2022;4º;Reclamação regulada;Pix - Bloqueio ou devolução de valores;"Para os casos em que o PSP recebedor bloqueia ou devolve os recursos recebidos por Pix, por suspeita de fraude ou problemas operacionais em um dos PSPs.";
2022;4º;Reclamação regulada;Pix - Bloqueio ou devolução irregular de valores - instituição de pagamento;"Para os casos em que o PSP recebedor bloqueia ou devolve os recursos recebidos por Pix, por suspeita de fraude ou problemas operacionais em um dos PSPs.";
2022;4º;Reclamação não regulada;Pix - diversos;"Para situações não reguladas relacionadas a assuntos diversos de Pix, não classificadas em rubricas ";
2022;4º;Reclamação regulada;Pix - Dificuldade para solicitar ou realizar devolução;Para os casos de impossibilidade de devolver ou ter devolvidos valores transacionados via Pix.;
2022;4º;Reclamação regulada;Pix - Dificuldade para solicitar ou realizar devolução - instituição de pagamento;Para os casos de impossibilidade de devolver ou ter devolvidos valores transacionados via Pix.;
2022;4º;Reclamação regulada;Pix - experiência do usuário;Para situações de inadequação ou insuficiência na experiência do usuário no site ou no aplicativo relacionada ao Pix ;
2022;4º;Reclamação regulada;Pix - experiência do usuário - instituição de pagamento;Para situações de inadequação ou insuficiência na experiência do usuário no site ou no aplicativo relacionada ao Pix ;
2022;4º;Reclamação regulada;Pix - iniciação;Para os casos de demora ou falha no envio do Pix pela instituição do pagador;
2022;4º;Reclamação regulada;Pix - liquidação;Para as situações em que há demora ou falha no processamento do crédito na conta do beneficiário do Pix devidamente iniciado;
2022;4º;Reclamação regulada;Pix - liquidação - instituição de pagamento;Para as situações em que há demora ou falha no processamento do crédito na conta do beneficiário do Pix devidamente iniciado;
2022;4º;Reclamação regulada;Pix - outros;"Para situações reguladas relacionadas a assuntos diversos de Pix, não classificadas em rubricas específicas.";
2022;4º;Reclamação regulada;Pix - outros - instituição de pagamento;"Para situações reguladas relacionadas a assuntos diversos de Pix, não classificadas em rubricas específicas.";
2022;4º;Reclamação regulada;Pix - tarifa;Para os casos de cobrança indevida de tarifa relacionada ao Pix;
2022;4º;Reclamação regulada;Pix - tarifa - instituição de pagamento;Para os casos de cobrança indevida de tarifa relacionada ao Pix;
2022;4º;Reclamação regulada;PIX - Chaves - instituição de pagamento;"Para os casos envolvendo problemas no registro, portabilidade, reivindicação e exclusão de chaves";
2022;4º;Reclamação não regulada;PIX - Diversos - instituição de pagamento;"Para situações não reguladas relacionadas a assuntos diversos de Pix, não classificadas em rubricas específicas.";
2022;4º;Reclamação regulada;PIX - Iniciação - instituição de pagamento;Para os casos de demora ou falha no envio do Pix pela instituição do pagador;
2022;4º;Reclamação não regulada;Planos Econômicos - divergências no saldo de cadernetas de poupança;"Para situações relacionadas a planos econômicos, tais como diferenças de reajustes de saldos em cadernetas de poupança.";
2022;4º;Reclamação regulada;Prestação de serviço de forma irregular em conta-salário;"Para as situações relacionadas à prestação de serviços, ou movimentação de recursos, de forma irregular em conta-salário, tais como:
- transferência de recursos não realizada ou realizada de forma intempestiva; 
- transferência de recursos realizada sem solicitação do cliente; 
- realização de débitos não autorizados pelo cliente, contratações anteriores a 1.3.2021.";
2022;4º;Reclamação não regulada;Problemas enfrentados com o atendimento preferencial;"Para as situações relacionadas à não observância de legislação específica sobre atendimento a pessoas com deficiência ou com mobilidade reduzida, temporária ou definitiva, idosos, gestantes, lactantes e pessoas acompanhadas por criança de colo.

";
2022;4º;Reclamação não regulada;Reclamações relacionadas a assuntos diversos;"Para situações relacionadas a assuntos diversos, não classificadas em rubricas específicas, tais como:
- ligações telefônicas oferecendo produtos e serviços, inclusive cartão de crédito;
- limites para saques/transferências em terminais eletrônicos, Internet Banking, etc;
- reclamações envolvendo os produtos ""seguro"" ou ""plano de previdência privada"", manifestada contra a instituição fiscalizada e não contra a seguradora ou contra empresa de previdência privada, tais como: demora no pagamento do seguro, demora no resgate da aplicação da previdência, entre outros.";
2022;4º;Reclamação não regulada;Reclamações relacionadas a assuntos diversos envolvendo - instituição de pagamento;"Para situações relacionadas a assuntos diversos envolvendo instituições de pagamento, não classificadas em rubricas específicas.";
2022;4º;Reclamação regulada;Recusa de cancelamento de pacote de serviços;Para os casos em que a instituição financeira se recusa a cancelar o pacote de serviços a pedido do cliente.;
2022;4º;Reclamação não regulada;Recusa de produtos ou serviços;"Para as situações relacionadas à recusa de produtos e serviços, por parte de instituição financeira, tais como:
- recepção de depósito/pagamento em moeda metálica;
- abertura de conta;
- concessão de crédito; 
- contratação de câmbio;
- substituição de bens dados em garantia;  
- aditamento contratual (alteração de cláusulas propostas pelo cliente);
- transferência de titularidade do devedor de financiamento;
- transferência de agência;
- fornecimento de cartão crédito.";
2022;4º;Reclamação não regulada;Recusa de produtos ou serviços - instituição de pagamento;"Para as situações relacionadas à recusa de produtos e serviços, por parte de instituição de pagamento, tais como:
- abertura de conta de pagamento;
- aditamento contratual (alteração de cláusulas propostas pelo cliente);
- fornecimento de cartão crédito.";
2022;4º;Reclamação regulada;Recusa ou dificuldade de acesso aos canais de atendimento convencionais;Para os casos envolvendo recusa ou dificuldade de acesso aos guichês de caixa.;
2022;4º;Reclamação não regulada;Renegociação de dívida (exceto cartão de crédito);"Para as situações envolvendo renegociação de dívidas, exceto as envolvendo cartão de crédito.";
2022;4º;Reclamação não regulada;Renegociação de dívida em instituição de pagamento;Para as situações envolvendo renegociação de dívidas em instituição de pagamento.;
2022;4º;Reclamação não regulada;Renegociação de dívidas/encargos relacionadas a cartão de crédito;Para situações relacionadas à renegociação de dívida ou encargos de cartão de crédito.;
2022;4º;Reclamação não regulada;Renegociação de dívidas/encargos relacionadas à cartão de crédito - instituição de pagamento;Para situações relacionadas à renegociação de dívida ou encargos de cartão de crédito.;
2022;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito (exceto crédito consignado e financiamento imobiliário) relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito (exceto crédito consignado e financiamento imobiliário) de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED.
- não comprovação da desistência do devedor.";
2022;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito consignado de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED;
- não comprovação da desistência do devedor.";
2022;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de crédito relativas a pessoas jurídicas;"Para os casos envolvendo a recusa injustificada ou imposição de dificuldades, por parte da instituição financeira credora original, para efetuar portabilidade de operação de crédito de pessoa jurídica, mediante a transferência de recursos pela instituição financeira proponente do novo empréstimo. ";
2022;4º;Reclamação regulada;Restrição à realização de portabilidade de operações de financiamento imobiliário relativas a pessoas naturais;"Para os casos envolvendo restrições, por parte da instituição financeira credora original, para efetuar portabilidade de operação de financiamento imobiliário de pessoa natural, tais como: 
- não fornecimento do saldo devedor ou de outras informações necessárias para concluir a portabilidade;
- não comunicação de desistência dentro do prazo previsto;
- alegação indevida de problemas de inconsistência na TED;
- não fornecimento da documentação necessária para as devidas averbações no cartório de registro de imóveis;
- não comprovação da desistência do devedor.";
2022;4º;Reclamação não regulada;Restrições cadastrais;"Para as situações envolvendo restrições cadastrais no Serasa, SPC e outros cadastros não constantes da base de dados do Banco Central, inclusive as oriundas de operações com cartão de crédito, tais como:
- inclusão indevida em cadastros restritivos;
- demora na retirada de restrições cadastrais, após a quitação da dívida.";
2022;4º;Reclamação não regulada;Restrições cadastrais por parte - instituição de pagamento;"Para as situações envolvendo restrições cadastrais por iniciativa de instituição de pagamento no Serasa, SPC e outros cadastros não constantes da base de dados do Banco Central, inclusive as oriundas de operações com cartão de crédito, tais como:
- inclusão indevida em cadastros restritivos;
- demora na retirada de restrições cadastrais, após a quitação da dívida.";
2022;4º;Reclamação não regulada;Segurança bancária;"Para os casos relacionados à segurança bancária, tais como:
- constrangimentos impostos ao cliente ou usuário em nome da segurança bancária; e
- falta de segurança nas dependências da instituição financeira.";
2022;4º;Reclamação não regulada;Tempo de espera em fila;Para as situações envolvendo o tempo de espera em filas na instituição financeira.;
2022;4º;Reclamação não regulada;Terminais eletrônicos, internet e aplicativos;"Para problemas relacionados: 
I - ao uso de terminais eletrônicos de autoatendimento, tais como:
a) sem numerário;
b) com defeito;
c) sem envelope;
d) sem papel de comprovante.

II - à internet banking, tais como:
a) site indisponível;
b) lentidão para processar operações;
c) à dificuldades para obtenção de senha para acesso ao site de internet banking, inclusive em caso de bloqueio da senha anterior pela instituição financeira;
d) dificuldades na utilização de serviços via aplicativos mobile.";
2022;4º;Reclamação não regulada;Terminais eletrônicos, internet e aplicativos - instituição de pagamento;"Para problemas relacionados:

I - ao uso de terminais eletrônicos POS, tais como:
a) travamento da maquininha;
b) com defeito;

II - à internet banking ou mobile, tais como:
a) site indisponível;
b) lentidão para processar operações;
c) à dificuldades para obtenção de senha para acesso ao site de internet banking, inclusive em caso de bloqueio da senha anterior pela instituição de pagamento;
d) dificuldades na utilização de serviços via aplicativos mobile.";
2022;4º;Reclamação regulada;Transações não reconhecidas pelo titular da conta, realizadas por terceiros (invasão de conta) - instituição de pagamento;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas em conta, independentemente do meio utilizado (internet banking, aplicativo, ATM, telefone, etc.) em instituições de pagamento.";
2022;4º;Reclamação regulada;Transações não reconhecidas pelo titular da conta, realizadas por terceiros (invasão de conta) em instituições financeiras;"Para as situações envolvendo integridade, confiabilidade, segurança ou o sigilo das transações realizadas em conta, independentemente do meio utilizado (internet banking, aplicativo, ATM, telefone, etc.) em instituições financeiras.";
2022;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário;"Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das demais operações de crédito, exceto as de crédito consignado e de financiamento imobiliário.";
2022;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de crédito consignado;Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de crédito consignado.;
2022;4º;Reclamação regulada;Utilização incorreta da taxa de desconto no cálculo do valor presente relacionadas às operações de financiamento imobiliário;Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de financiamento imobiliário.;
